省份,光伏上网综合电价,年光照小时(GHI),标杆年光照小时,脱硫电价(元/kWh),机制电价(元/kWh),机制电量比例,市场交易均价(元/kWh),数据来源,数据时间
北京市,0.36,1450,1200,0.36,0.36,100%,0.40,100%可纳入,2025年
天津市,0.36,1450,1200,0.36,0.36,100%,0.40,100%可纳入,2025年
上海市,0.416,1300,1100,0.42,0.4155,100%,0.48,100%可纳入,2025年
重庆市,0.40,1200,1000,0.40,0.40,100%,0.44,100%可纳入,2025年
河北省,0.373,1500,1250,0.37,0.38,30%,0.37,冀北0.40/冀南0.34,2025年
山西省,0.182,1550,1300,0.35,0.35,30%,0.11,山西现货,2025年
辽宁省,0.380,1450,1200,0.37,0.38,30%,0.38,辽宁结算,2025年
吉林省,0.359,1400,1150,0.37,0.38,30%,0.35,吉林结算,2025年
黑龙江省,0.338,1350,1100,0.37,0.38,30%,0.32,黑龙江结算,2025年
江苏省,0.406,1350,1100,0.40,0.42,30%,0.40,江苏绿电,2025年
浙江省,0.382,1300,1050,0.42,0.3929,75%,0.35,机制电价0.3929,2025年
安徽省,0.417,1300,1050,0.40,0.42,85%,0.40,增量85%/分布式100%,2025年
福建省,0.420,1250,1000,0.40,0.42,30%,0.42,国家发改委,2025年
江西省,0.434,1350,1100,0.42,0.42,30%,0.44,国家发改委,2025年
山东省,0.248,1450,1200,0.39,0.225,80%,0.34,光伏80%/风电70%,2025年
河南省,0.371,1400,1150,0.38,0.35,30%,0.38,竞价区间0.121-0.349,2025年
湖北省,0.402,1200,1000,0.42,0.42,80%,0.33,比例上限80%,2025年
湖南省,0.432,1150,950,0.42,0.42,80%,0.48,比例上限80%,2025年
广东省,0.450,1300,1050,0.45,0.45,30%,0.45,广东现货,2025年
海南省,0.404,1600,1350,0.40,0.40,80%,0.42,竞价比例80%,2025年
四川省,0.400,1450,1200,0.40,0.40,30%,0.40,国家发改委,2025年
贵州省,0.35,1100,900,0.35,0.35,100%,0.39,100%可纳入,2025年
云南省,0.33,1600,1350,0.34,0.33,100%,0.23,100%可纳入,2025年
陕西省,0.351,1550,1300,0.40,0.40,30%,0.33,陕西结算,2025年
甘肃省,0.195,1650,1400,0.30,0.1954,100%,0.16,100%可纳入,2025年
青海省,0.240,1800,1500,0.23,0.24,100%,0.23,100%可纳入,2025年
台湾省,0.450,1500,1250,0.45,0.45,30%,0.45,参考数据,2025年
内蒙古自治区,0.280,1750,1500,0.28,0.28,100%,0.20,蒙西/蒙东100%,2025年
广西壮族自治区,0.357,1350,1100,0.42,0.42,30%,0.33,广西结算,2025年
西藏自治区,0.250,2000,1700,0.25,0.25,30%,0.25,无实施细则,2025年
宁夏回族自治区,0.26,1700,1450,0.26,0.26,100%,0.15,集中式10%/分布式100%,2025年
新疆维吾尔自治区,0.235,1700,1450,0.26,0.235,100%,0.17,100%可纳入,2025年
香港特别行政区,0.50,1400,1150,0.50,0.50,30%,0.50,参考数据,2025年
澳门特别行政区,0.50,1400,1150,0.50,0.50,30%,0.50,参考数据,2025年
